parameter,value
stocks,"11B.WA,ABE.WA,ACG.WA,AGO.WA,ALL.WA,ALR.WA,ALE.WA,AMB.WA,AMC.WA,EAT.WA,APT.WA,ARH.WA,ATC.WA,ASB.WA,ABS.WA,ACP.WA,ASE.WA,AST.WA,1AT.WA,APR.WA,BFT.WA,BCX.WA,BIO.WA,BLO.WA,BNP.WA,LWB.WA,BRS.WA,BOS.WA,BDX.WA,BMC.WA,CTX.WA,CCC.WA,CDR.WA,CIG.WA,CLN.WA,COG.WA,CLC.WA,CMP.WA,CRJ.WA,CRI.WA,CBF.WA,CPS.WA,DAD.WA,DAT.WA,DCR.WA,DVL.WA,DIA.WA,DNP.WA,DOM.WA,ECH.WA,ELT.WA,ENA.WA,ENT.WA,ERB.WA,EUR.WA,FRO.WA,FTE.WA,GPW.WA,GRX.WA,GEA.WA,ATT.WA,GPP.WA,BHW.WA,HUG.WA,ING.WA,CAR.WA,JSW.WA,KTY.WA,KGH.WA,KGN.WA,KRU.WA,LPP.WA,LBW.WA,MAB.WA,MBK.WA,MCI.WA,MDG.WA,MNC.WA,MRC.WA,MCR.WA,MIL.WA,MRB.WA,MLS.WA,MBR.WA,MOC.WA,MSZ.WA,MUR.WA,NEU.WA,NWG.WA,OND.WA,OPN.WA,OPL.WA,PCR.WA,PBX.WA,PEO.WA,PEP.WA,PCO.WA,PGE.WA,PKN.WA,PKO.WA,PLW.WA,PXM.WA,PZU.WA,QRS.WA,RBW.WA,RNK.WA,RVU.WA,SNK.WA,SPL.WA,SCP.WA,SEL.WA,SLV.WA,SHO.WA,SKA.WA,SNT.WA,STX.WA,STP.WA,SGN.WA,SNT.WA,TAR.WA,TPE.WA,TXT.WA,TOR.WA,TOA.WA,TEN.WA,UNI.WA,UNT.WA,VRC.WA,VGO.WA,VOT.WA,VOX.WA,VRG.WA,WWL.WA,WLT.WA,WPL.WA,WTN.WA,XTB.WA,XTP.WA,ZAB.WA,ZEP.WA"
macd_fast,12
macd_slow,26
macd_signal,9
rsi_period,14
rsi_buy_threshold,65
data_period,100
polygon_api_key,
output_file,

